cycle,T_K,I_on_A,I_off_A,Rwin_Ion_over_Ioff,tau_s,retention_drop_frac_at_tobs
2.300000000000000000e+01,3.500000000000000000e+02,3.346443041030990398e-03,1.587335916237050362e-04,2.108213521032203275e+01,2.495564427446389454e+05,3.553736843032748727e-01
2.300000000000000000e+01,3.750000000000000000e+02,3.652449370532221979e-03,1.732485506849393861e-04,2.108213521032203275e+01,9.229704549441397830e+04,6.586367856808932331e-01
2.400000000000000000e+01,2.500000000000000000e+02,2.351470459922318148e-03,1.120005438192864217e-04,2.099517002092802898e+01,9.751124699375864863e+07,2.038954951701144047e-03
2.400000000000000000e+01,2.750000000000000000e+02,2.566494243548324197e-03,1.222421271649639968e-04,2.099517002092803253e+01,1.460036572372009978e+07,1.121054822539313545e-02
2.400000000000000000e+01,3.000000000000000000e+02,2.801180288858183369e-03,1.334202240832515812e-04,2.099517002092802898e+01,3.000000000000000000e+06,4.575725881790104754e-02
2.400000000000000000e+01,3.250000000000000000e+02,3.057326557584337610e-03,1.456204714959101639e-04,2.099517002092802898e+01,7.863364131961344974e+05,1.446954299318927717e-01
2.400000000000000000e+01,3.500000000000000000e+02,3.336895421151423076e-03,1.589363371587464624e-04,2.099517002092802898e+01,2.495564427446389454e+05,3.553736843032748727e-01
2.400000000000000000e+01,3.750000000000000000e+02,3.642028694670826350e-03,1.734698357308106888e-04,2.099517002092802898e+01,9.229704549441397830e+04,6.586367856808932331e-01
2.500000000000000000e+01,2.500000000000000000e+02,2.344761561598307249e-03,1.121378118793968690e-04,2.090964253984263266e+01,9.751124699375864863e+07,2.038954951701144047e-03
2.500000000000000000e+01,2.750000000000000000e+02,2.559171868369647732e-03,1.223919473273266513e-04,2.090964253984262911e+01,1.460036572372009978e+07,1.121054822539313545e-02
2.500000000000000000e+01,3.000000000000000000e+02,2.793188339112068121e-03,1.335837441405198726e-04,2.090964253984263266e+01,3.000000000000000000e+06,4.575725881790104754e-02
2.500000000000000000e+01,3.250000000000000000e+02,3.048603805856123141e-03,1.457989441974968969e-04,2.090964253984263266e+01,7.863364131961344974e+05,1.446954299318927717e-01
2.500000000000000000e+01,3.500000000000000000e+02,3.327375041253007558e-03,1.591311298083075676e-04,2.090964253984262911e+01,2.495564427446389454e+05,3.553736843032748727e-01
2.500000000000000000e+01,3.750000000000000000e+02,3.631637749676142404e-03,1.736824406613444993e-04,2.090964253984262911e+01,9.229704549441397830e+04,6.586367856808932331e-01
2.600000000000000000e+01,2.500000000000000000e+02,2.338071804198024305e-03,1.122698987588447507e-04,2.082545571026292919e+01,9.751124699375864863e+07,2.038954951701144047e-03
2.600000000000000000e+01,2.750000000000000000e+02,2.551870384404109158e-03,1.225361125301344556e-04,2.082545571026292563e+01,1.460036572372009978e+07,1.121054822539313545e-02
2.600000000000000000e+01,3.000000000000000000e+02,2.785219190918926738e-03,1.337410921359262950e-04,2.082545571026292919e+01,3.000000000000000000e+06,4.575725881790104754e-02
2.600000000000000000e+01,3.250000000000000000e+02,3.039905940706519490e-03,1.459706804499088346e-04,2.082545571026292919e+01,7.863364131961344974e+05,1.446954299318927717e-01
2.600000000000000000e+01,3.500000000000000000e+02,3.317881823618304589e-03,1.593185700125269880e-04,2.082545571026292919e+01,2.495564427446389454e+05,3.553736843032748727e-01
2.600000000000000000e+01,3.750000000000000000e+02,3.621276450724072310e-03,1.738870208222853943e-04,2.082545571026292919e+01,9.229704549441397830e+04,6.586367856808932331e-01
2.700000000000000000e+01,2.500000000000000000e+02,2.331401133111167794e-03,1.123971814002034807e-04,2.074252311372415747e+01,9.751124699375864863e+07,2.038954951701144047e-03
